Ponded Water,Distance,Bulk Density,Concentration,Porosity,Hydraulic Conductivity,Dispersivity,Type-1 Sorption Fraction,Adsorption Coefficient,Type-2 Sorption Reaction Rate,Flux,Horizontal,Particle Density,Degree of Saturation,Relative Velocity,Saturation
0.0,1.0,0.43045965759528926,1.0,0.21781083942393797,0.5064395499304065,0.07753208124896188,0.032919430325640195,0.009653871085079268,0.4740409451037125,0.02,1.0,0.22645311881481955,0.576308200916285,0.8828271182822386,False
0.6,1.0,0.14946318546449966,1.0,0.28574889687606264,0.7772024222294089,0.07020611085211413,0.38974496454046675,0.17963714431539607,0.3545972493710964,0.0,1.0,0.06328618957790333,0.9999506880156879,0.5729790446054518,True
0.0,0.411764705882353,0.49400090133574537,0.24981245311327835,0.6051851057473359,0.7009293708571392,0.12463271582242781,0.9557078238984476,0.30797368722039525,0.27134417170299896,0.04,0.0,0.5593689142227349,0.9999343720157061,0.45255465180479215,True
0.0,0.08823529411764708,0.5201207235950731,0.24981245311327835,0.24891866798815787,0.5669896696106864,0.14022129195771316,0.5743966694264482,0.06401434814997495,0.3506060485565076,0.1,1.0,0.31520443790120467,0.5585180259941587,0.6732680427769597,False
0.0,1.0,0.6970051596173521,0.24981245311327835,0.7101667989518967,0.37545980978885596,0.0751154752477956,0.8855890880676992,0.5258919296185313,0.22877693484875153,0.02,0.0,0.8024394488363757,0.9999493364163123,0.33041538339439147,True
0.6,0.0,0.6795387152334316,1.0,0.3444818365473541,0.579205083810201,0.4657140647315251,0.5297947339504882,0.03772732962925167,0.13755078430186882,0.0,1.0,0.5044044197652466,0.9999603659858596,0.8779964825161689,True
0.0,0.0,0.6143692952770161,0.0622655663915979,0.433346155054656,0.5437009343068802,0.3332968633004827,0.06279583918929456,0.009315013617504055,0.019948770886527877,0.04,0.0,0.5212651684339269,0.9999689094488851,0.9299592727569576,True
0.3,0.08823529411764708,0.564903565182318,0.24981245311327835,0.6675616647542157,0.7404023583185848,0.0014231541776506252,0.5989020676377136,0.060239223224135344,0.31455666922276776,0.0,1.0,0.6638536150236565,0.9999702656608851,0.8247362241055296,True
0.0,1.0,0.5465885985522201,0.0622655663915979,0.5975311676576527,0.5883821660491095,0.09392275941308491,0.04067315527842147,0.13212094712960065,0.06240053206248589,0.5,1.0,0.5944915248128897,0.41450988899731733,0.4897435220353449,False
0.0,0.411764705882353,0.6036729911597245,0.0622655663915979,0.46626805090013956,0.6239026384301791,0.268256642519192,0.07519812897394587,0.02973575387786823,0.42502407496348793,0.1,0.0,0.5379284729257519,0.999970561149838,0.8532168582161683,True
0.0,1.0,0.758031757292601,1.0,0.5673463139068429,0.4608743398738637,0.9894427083913467,0.9518959690966456,0.07021904452197206,0.1402490628485651,1.0,0.0,0.7354894645526269,0.999862029241964,0.7544431471859876,True
0.0,0.411764705882353,0.6048238732469811,1.0,0.29873471565794274,0.5867690472087601,0.0055514045302271,0.09089481250707208,0.2602971099174875,0.2549330104532128,0.04,1.0,0.41448097052137456,0.9129353063101315,0.4563563332154383,False
0.0,0.08823529411764708,0.3864427147691707,0.0007501875468867217,0.5412638744855571,0.7695696178496446,0.09318667301053538,0.10671054904841615,0.011436361018024373,0.47154240012994797,0.02,1.0,0.42696777043845113,0.2892429808546062,0.8375193186743863,False
0.6,0.411764705882353,0.5505310300436879,1.0,0.32771710810070953,0.5173388949785181,0.4771421381555205,0.48868885476160784,0.0015673355964343529,0.302623838579345,0.0,1.0,0.39466171329095534,0.9999522303480428,0.9449231911083981,True
0.0,1.0,0.6306835631582031,0.0,0.9616867435661196,0.7295003954026765,0.045318762302920965,0.20735132356775224,0.34720679268571053,0.3670318836982477,0.02,1.0,0.9602430014373162,0.8685479012266792,0.41478796694406234,False
1.0,1.0,0.33583140856110116,0.0007501875468867217,0.5790137222795679,0.7992663458080039,0.4687884929751373,0.40907777876973833,0.5496405446209027,0.5910131286829712,0.0,1.0,0.41604092421947936,0.9999684909922659,0.32458436936982915,True
